name,last_name,city,country,age,credit_score,balance,defaulted
*,*,*,*,[0-99],[400-599],[0-inf],no
*,*,*,*,[0-99],[0-199],[0-inf],no
*,*,*,*,[0-99],[600-799],[0-inf],yes
*,*,*,*,[0-99],[600-799],[0-inf],yes
*,*,*,*,[0-99],[0-199],[0-inf],no
*,*,*,*,[0-99],[0-199],[0-inf],no
*,*,*,*,[0-99],[400-599],[0-inf],no
*,*,*,*,[0-99],[400-599],[0-inf],no
*,*,*,*,[0-99],[200-399],[0-inf],no
*,*,*,*,[0-99],[200-399],[0-inf],no
*,*,*,*,[0-99],[400-599],[0-inf],no
*,*,*,*,[0-99],[0-199],[0-inf],no
*,*,*,*,[0-99],[0-199],[0-inf],yes
*,*,*,*,[0-99],[200-399],[0-inf],yes
*,*,*,*,[0-99],[400-599],[0-inf],no
*,*,*,*,[0-99],[0-199],[0-inf],no
*,*,*,*,[0-99],[0-199],[0-inf],yes
*,*,*,*,[0-99],[0-199],[0-inf],no
*,*,*,*,[0-99],[0-199],[0-inf],no
*,*,*,*,[0-99],[600-799],[0-inf],no
*,*,*,*,[0-99],[400-599],[0-inf],yes
*,*,*,*,[0-99],[0-199],[0-inf],no
*,*,*,*,[0-99],[400-599],[0-inf],yes
*,*,*,*,[0-99],[600-799],[0-inf],no
*,*,*,*,[0-99],[600-799],[0-inf],no
*,*,*,*,[0-99],[200-399],[0-inf],no
*,*,*,*,[0-99],[400-599],[0-inf],yes
*,*,*,*,[0-99],[400-599],[0-inf],no
*,*,*,*,[0-99],[400-599],[0-inf],no
*,*,*,*,[0-99],[600-799],[0-inf],no
*,*,*,*,[0-99],[200-399],[0-inf],yes
*,*,*,*,[0-99],[400-599],[0-inf],no
*,*,*,*,[0-99],[400-599],[0-inf],no
*,*,*,*,[0-99],[600-799],[0-inf],yes
*,*,*,*,[0-99],[600-799],[0-inf],no
*,*,*,*,[0-99],[0-199],[0-inf],no
*,*,*,*,[0-99],[200-399],[0-inf],yes
*,*,*,*,[0-99],[0-199],[0-inf],no
*,*,*,*,[0-99],[0-199],[0-inf],yes
*,*,*,*,[0-99],[400-599],[0-inf],yes
*,*,*,*,[0-99],[600-799],[0-inf],no
*,*,*,*,[0-99],[200-399],[0-inf],no
*,*,*,*,[0-99],[200-399],[0-inf],no
*,*,*,*,[0-99],[400-599],[0-inf],no
*,*,*,*,[0-99],[400-599],[0-inf],no
*,*,*,*,[0-99],[200-399],[0-inf],no
*,*,*,*,[0-99],[200-399],[0-inf],yes
*,*,*,*,[0-99],[400-599],[0-inf],yes
*,*,*,*,[0-99],[200-399],[0-inf],no
*,*,*,*,[0-99],[200-399],[0-inf],no
*,*,*,*,[0-99],[0-199],[0-inf],no
*,*,*,*,[0-99],[200-399],[0-inf],no
*,*,*,*,[0-99],[400-599],[0-inf],no
*,*,*,*,[0-99],[600-799],[0-inf],no
*,*,*,*,[0-99],[0-199],[0-inf],no
*,*,*,*,[0-99],[600-799],[0-inf],no
*,*,*,*,[0-99],[400-599],[0-inf],no
*,*,*,*,[0-99],[0-199],[0-inf],no
*,*,*,*,[0-99],[200-399],[0-inf],no
*,*,*,*,[0-99],[200-399],[0-inf],no
*,*,*,*,[0-99],[0-199],[0-inf],no
*,*,*,*,[0-99],[600-799],[0-inf],no
*,*,*,*,[0-99],[200-399],[0-inf],no
*,*,*,*,[0-99],[600-799],[0-inf],no
*,*,*,*,[0-99],[400-599],[0-inf],no
*,*,*,*,[0-99],[400-599],[0-inf],no
*,*,*,*,[0-99],[600-799],[0-inf],no
*,*,*,*,[0-99],[600-799],[0-inf],no
*,*,*,*,[0-99],[400-599],[0-inf],yes
*,*,*,*,[0-99],[0-199],[0-inf],no
*,*,*,*,[0-99],[0-199],[0-inf],yes
*,*,*,*,[0-99],[0-199],[0-inf],no
*,*,*,*,[0-99],[0-199],[0-inf],no
*,*,*,*,[0-99],[400-599],[0-inf],yes
*,*,*,*,[0-99],[0-199],[0-inf],yes
*,*,*,*,[0-99],[400-599],[0-inf],no
*,*,*,*,[0-99],[0-199],[0-inf],no
*,*,*,*,[0-99],[0-199],[0-inf],no
*,*,*,*,[0-99],[400-599],[0-inf],no
*,*,*,*,[0-99],[400-599],[0-inf],yes
*,*,*,*,[0-99],[200-399],[0-inf],no
*,*,*,*,[0-99],[600-799],[0-inf],yes
*,*,*,*,[0-99],[400-599],[0-inf],no
*,*,*,*,[0-99],[0-199],[0-inf],no
*,*,*,*,[0-99],[600-799],[0-inf],yes
*,*,*,*,[0-99],[200-399],[0-inf],yes
*,*,*,*,[0-99],[0-199],[0-inf],no
*,*,*,*,[0-99],[600-799],[0-inf],no
*,*,*,*,[0-99],[400-599],[0-inf],no
*,*,*,*,[0-99],[0-199],[0-inf],no
*,*,*,*,[0-99],[0-199],[0-inf],no
*,*,*,*,[0-99],[0-199],[0-inf],no
*,*,*,*,[0-99],[200-399],[0-inf],no
*,*,*,*,[0-99],[200-399],[0-inf],no
*,*,*,*,[0-99],[400-599],[0-inf],yes
*,*,*,*,[0-99],[200-399],[0-inf],no
*,*,*,*,[0-99],[400-599],[0-inf],no
*,*,*,*,[0-99],[200-399],[0-inf],yes
*,*,*,*,[0-99],[0-199],[0-inf],yes
*,*,*,*,[0-99],[0-199],[0-inf],yes
