name,last_name,city,country,age,credit_score,balance,defaulted
*,*,*,*,[0-99],[400-599],[1000-4999],no
*,*,*,*,[0-99],[0-199],[1000-4999],no
*,*,*,*,[0-99],[600-799],[1000-4999],yes
*,*,*,*,[0-99],[600-799],[1000-4999],yes
*,*,*,*,[0-99],[0-199],[1000-4999],no
*,*,*,*,[0-99],[0-199],[1000-4999],no
*,*,*,*,[0-99],[400-599],[1000-4999],no
*,*,*,*,[0-99],[400-599],[1000-4999],no
*,*,*,*,[0-99],[200-399],[1000-4999],no
*,*,*,*,[0-99],[200-399],[1000-4999],no
*,*,*,*,[0-99],[400-599],[1000-4999],no
*,*,*,*,[0-99],[0-199],[1000-4999],no
*,*,*,*,[0-99],[0-199],[0-999],yes
*,*,*,*,[0-99],[200-399],[1000-4999],yes
*,*,*,*,[0-99],[400-599],[1000-4999],no
*,*,*,*,[0-99],[0-199],[1000-4999],no
*,*,*,*,[0-99],[0-199],[1000-4999],yes
*,*,*,*,[0-99],[0-199],[1000-4999],no
*,*,*,*,[0-99],[0-199],[1000-4999],no
*,*,*,*,[0-99],[600-799],[1000-4999],no
*,*,*,*,[0-99],[400-599],[1000-4999],yes
*,*,*,*,[0-99],[0-199],[1000-4999],no
*,*,*,*,[0-99],[400-599],[1000-4999],yes
*,*,*,*,[0-99],[600-799],[5000-9999],no
*,*,*,*,[0-99],[600-799],[0-999],no
*,*,*,*,[0-99],[200-399],[1000-4999],no
*,*,*,*,[0-99],[400-599],[1000-4999],yes
*,*,*,*,[0-99],[400-599],[1000-4999],no
*,*,*,*,[0-99],[400-599],[1000-4999],no
*,*,*,*,[0-99],[600-799],[1000-4999],no
*,*,*,*,[0-99],[200-399],[1000-4999],yes
*,*,*,*,[0-99],[400-599],[5000-9999],no
*,*,*,*,[0-99],[400-599],[1000-4999],no
*,*,*,*,[0-99],[600-799],[1000-4999],yes
*,*,*,*,[0-99],[600-799],[1000-4999],no
*,*,*,*,[0-99],[0-199],[1000-4999],no
*,*,*,*,[0-99],[200-399],[1000-4999],yes
*,*,*,*,[0-99],[0-199],[1000-4999],no
*,*,*,*,[0-99],[0-199],[1000-4999],yes
*,*,*,*,[0-99],[400-599],[1000-4999],yes
*,*,*,*,[0-99],[600-799],[1000-4999],no
*,*,*,*,[0-99],[200-399],[1000-4999],no
*,*,*,*,[0-99],[200-399],[1000-4999],no
*,*,*,*,[0-99],[400-599],[1000-4999],no
*,*,*,*,[0-99],[400-599],[1000-4999],no
*,*,*,*,[0-99],[200-399],[1000-4999],no
*,*,*,*,[0-99],[200-399],[1000-4999],yes
*,*,*,*,[0-99],[400-599],[1000-4999],yes
*,*,*,*,[0-99],[200-399],[1000-4999],no
*,*,*,*,[0-99],[200-399],[1000-4999],no
*,*,*,*,[0-99],[0-199],[1000-4999],no
*,*,*,*,[0-99],[200-399],[1000-4999],no
*,*,*,*,[0-99],[400-599],[1000-4999],no
*,*,*,*,[0-99],[600-799],[1000-4999],no
*,*,*,*,[0-99],[0-199],[1000-4999],no
*,*,*,*,[0-99],[600-799],[0-999],no
*,*,*,*,[0-99],[400-599],[1000-4999],no
*,*,*,*,[0-99],[0-199],[1000-4999],no
*,*,*,*,[0-99],[200-399],[1000-4999],no
*,*,*,*,[0-99],[200-399],[1000-4999],no
*,*,*,*,[0-99],[0-199],[1000-4999],no
*,*,*,*,[0-99],[600-799],[1000-4999],no
*,*,*,*,[0-99],[200-399],[1000-4999],no
*,*,*,*,[0-99],[600-799],[1000-4999],no
*,*,*,*,[0-99],[400-599],[1000-4999],no
*,*,*,*,[0-99],[400-599],[1000-4999],no
*,*,*,*,[0-99],[600-799],[0-999],no
*,*,*,*,[0-99],[600-799],[1000-4999],no
*,*,*,*,[0-99],[400-599],[0-999],yes
*,*,*,*,[0-99],[0-199],[1000-4999],no
*,*,*,*,[0-99],[0-199],[1000-4999],yes
*,*,*,*,[0-99],[0-199],[1000-4999],no
*,*,*,*,[0-99],[0-199],[1000-4999],no
*,*,*,*,[0-99],[400-599],[1000-4999],yes
*,*,*,*,[0-99],[0-199],[1000-4999],yes
*,*,*,*,[0-99],[400-599],[1000-4999],no
*,*,*,*,[0-99],[0-199],[1000-4999],no
*,*,*,*,[0-99],[0-199],[1000-4999],no
*,*,*,*,[0-99],[400-599],[1000-4999],no
*,*,*,*,[0-99],[400-599],[1000-4999],yes
*,*,*,*,[0-99],[200-399],[1000-4999],no
*,*,*,*,[0-99],[600-799],[1000-4999],yes
*,*,*,*,[0-99],[400-599],[1000-4999],no
*,*,*,*,[0-99],[0-199],[1000-4999],no
*,*,*,*,[0-99],[600-799],[1000-4999],yes
*,*,*,*,[0-99],[200-399],[1000-4999],yes
*,*,*,*,[0-99],[0-199],[1000-4999],no
*,*,*,*,[0-99],[600-799],[1000-4999],no
*,*,*,*,[0-99],[400-599],[1000-4999],no
*,*,*,*,[0-99],[0-199],[1000-4999],no
*,*,*,*,[0-99],[0-199],[0-999],no
*,*,*,*,[0-99],[0-199],[1000-4999],no
*,*,*,*,[0-99],[200-399],[1000-4999],no
*,*,*,*,[0-99],[200-399],[1000-4999],no
*,*,*,*,[0-99],[400-599],[1000-4999],yes
*,*,*,*,[0-99],[200-399],[1000-4999],no
*,*,*,*,[0-99],[400-599],[0-999],no
*,*,*,*,[0-99],[200-399],[1000-4999],yes
*,*,*,*,[0-99],[0-199],[1000-4999],yes
*,*,*,*,[0-99],[0-199],[1000-4999],yes
